,message,label,message_length,num_digits,has_link,has_email,is_question,contain_spam_keywords,spam_keywords_count,starts_with_greeting,has_closing,num_sepcail_chars,num_excalamation_marks,number_upper_words,message_cleaned
10,Oh k...i'm watching here:),ham,26,0,1,0,0,0,0,0,0,3,0,0,"['oh', 'Ġk', 'Ġ...', 'Ġi', ""'m"", 'Ġwatch', 'Ġhere', 'Ġ:)']"
11,Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.,ham,81,1,0,0,0,0,0,0,0,0,0,0,"['eh', 'Ġu', 'Ġremember', 'Ġhow', 'Ġ2', 'Ġspell', 'Ġhis', 'Ġname', 'Ġ...', 'Ġyes', 'ĠI', 'Ġdo', 'Ġ.', 'Ġhe', 'Ġv', 'Ġnaughty', 'Ġmake', 'Ġuntil', 'ĠI', 'Ġv', 'Ġwet', 'Ġ.']"
12,Fine if thatåÕs the way u feel. ThatåÕs the way its gota b,ham,58,0,0,0,0,0,0,0,0,4,0,0,"['fine', 'Ġif', 'Ġthat', 'Ã¥', 'Ã', 'µ', 'Ġthe', 'Ġway', 'Ġu', 'Ġfeel', 'Ġ.', 'Ġthat', 'Ã¥', 'Ã', 'µ', 'Ġthe', 'Ġway', 'Ġits', 'Ġgot', 'Ġb']"
13,"England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/Ì¼1.20 POBOXox36504W45WQ 16+",spam,156,23,1,0,0,0,0,0,0,7,0,2,"['eng', 'land', 'Ġv', 'Ġm', 'aced', 'onia', 'Ġ-', 'Ġdo', 'Ġnot', 'Ġmiss', 'Ġthe', 'Ġgoal', 'Ġ/', 'Ġteam', 'Ġnews', 'Ġ.', 'Ġt', 'xt', 'Ġur', 'Ġnational', 'Ġteam', 'Ġto', 'Ġ8', '70', '77', 'Ġeg', 'Ġeng', 'land', 'Ġto', 'Ġ8', '70', '77', 'Ġtry', 'Ġ:', 'Ġw', 'ale', 'Ġ,', 'Ġsc', 'ot', 'land', 'Ġ4', 'txt', 'Ġ/', 'ĠÃ', '¬', 'Â', '¼', '1', '.', '20', 'Ġp', 'ob', 'ox', 'ox', '36', '504', 'w', '45', 'w', 'q', 'Ġ16', 'Ġ+']"
14,Is that seriously how you spell his name?,ham,41,0,0,0,1,0,0,0,0,1,0,0,"['Ġthat', 'Ġseriously', 'Ġhow', 'Ġyou', 'Ġspell', 'Ġhis', 'Ġname', 'Ġ?']"
15,IÛ÷m going to try for 2 months ha ha only joking,ham,49,1,0,0,0,0,0,0,0,3,0,0,"['Â', 'ī', 'Ã»', 'Ã', '·', 'Ġgo', 'Ġto', 'Ġtry', 'Ġfor', 'Ġ2', 'Ġmonth', 'Ġha', 'Ġha', 'Ġonly', 'Ġjoke']"
16,So Ì_ pay first lar... Then when is da stock comin...,ham,53,0,0,0,0,0,0,0,0,2,0,1,"['ĠÃ', '¬', 'Ġ_', 'Ġpay', 'Ġfirst', 'Ġlar', 'Ġ...', 'Ġthen', 'Ġwhen', 'Ġbe', 'Ġda', 'Ġstock', 'Ġcom', 'Ġ...']"
17,Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?,ham,88,1,0,0,1,0,0,0,0,1,0,1,"['aft', 'ĠI', 'Ġfinish', 'Ġmy', 'Ġlunch', 'Ġthen', 'ĠI', 'Ġgo', 'Ġstr', 'Ġdown', 'Ġl', 'Ġ.', 'Ġard', 'Ġ3', 'Ġsm', 'th', 'Ġl', 'Ġ.', 'Ġu', 'Ġfinish', 'Ġur', 'Ġlunch', 'Ġalready', 'Ġ?']"
18,Ffffffffff. Alright no way I can meet up with you sooner?,ham,57,0,0,0,1,0,0,0,0,1,0,1,"['ffff', 'ffff', 'ff', 'Ġ.', 'Ġalright', 'Ġno', 'Ġway', 'ĠI', 'Ġcan', 'Ġmeet', 'Ġup', 'Ġwith', 'Ġyou', 'Ġsoon', 'Ġ?']"
19,Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol,ham,144,0,0,0,0,1,1,0,0,2,0,1,"['Ġforce', 'Ġmyself', 'Ġto', 'Ġeat', 'Ġa', 'Ġslice', 'Ġ.', 'ĠI', 'Ġbe', 'Ġreally', 'Ġnot', 'Ġhungry', 'Ġtho', 'Ġ.', 'Ġthis', 'Ġsuck', 'Ġ.', 'Ġmark', 'Ġbe', 'Ġget', 'Ġworried', 'Ġ.', 'Ġhe', 'Ġknow', 'ĠI', 'Ġbe', 'Ġsick', 'Ġwhen', 'ĠI', 'Ġturn', 'Ġdown', 'Ġpizza', 'Ġ.', 'Ġlol']"
20,Lol your always so convincing.,ham,30,0,0,0,0,0,0,0,0,0,0,0,"['lol', 'Ġyour', 'Ġalways', 'Ġso', 'Ġconvincing', 'Ġ.']"
21,Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?,ham,134,0,0,0,1,0,0,0,0,6,0,0,"['Ġyou', 'Ġcatch', 'Ġthe', 'Ġbus', 'Ġ?', 'Ġbe', 'Ġyou', 'Ġfry', 'Ġan', 'Ġegg', 'Ġ?', 'Ġdo', 'Ġyou', 'Ġmake', 'Ġa', 'Ġtea', 'Ġ?', 'Ġbe', 'Ġyou', 'Ġeat', 'Ġyour', 'Ġmom', ""Ġ'"", 'Ġleave', 'Ġover', 'Ġdinner', 'Ġ?', 'Ġdo', 'Ġyou', 'Ġfeel', 'Ġmy', 'Ġlove', 'Ġ?']"
22,"I'm back &amp; we're packing the car now, I'll let you know if there's room",ham,75,0,0,0,0,1,1,0,0,6,0,0,"['Ġbe', 'Ġback', 'Ġ&', 'Ġamp', 'Ġ;', 'Ġwe', 'Ġbe', 'Ġpack', 'Ġthe', 'Ġcar', 'Ġnow', 'Ġ,', 'ĠI', 'Ġwill', 'Ġlet', 'Ġyou', 'Ġknow', 'Ġif', 'Ġthere', 'Ġbe', 'Ġroom']"
23,Ahhh. Work. I vaguely remember that! What does it feel like? Lol,ham,64,0,0,0,0,0,0,0,0,2,1,1,"['ah', 'hh', 'Ġ.', 'Ġwork', 'Ġ.', 'ĠI', 'Ġvaguely', 'Ġremember', 'Ġthat', 'Ġ!', 'Ġwhat', 'Ġdo', 'Ġit', 'Ġfeel', 'Ġlike', 'Ġ?', 'Ġlol']"
24,"Wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us",ham,130,0,0,0,0,0,0,0,0,3,0,0,"['wait', 'Ġthat', 'Ġbe', 'Ġstill', 'Ġnot', 'Ġall', 'Ġthat', 'Ġclear', 'Ġ,', 'Ġbe', 'Ġyou', 'Ġnot', 'Ġsure', 'Ġabout', 'ĠI', 'Ġbe', 'Ġsarcastic', 'Ġor', 'Ġthat', 'Ġthat', 'Ġbe', 'Ġwhy', 'Ġx', 'Ġdo', 'Ġnot', 'Ġwant', 'Ġto', 'Ġlive', 'Ġwith', 'Ġwe']"
25,Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You? ,ham,189,2,0,0,1,0,0,0,1,4,2,0,"['yeah', 'Ġhe', 'Ġget', 'Ġin', 'Ġat', 'Ġ2', 'Ġand', 'Ġbe', 'Ġv', 'Ġapolog', 'etic', 'Ġ.', 'Ġn', 'Ġhave', 'Ġfall', 'Ġout', 'Ġand', 'Ġshe', 'Ġbe', 'Ġact', 'Ġlike', 'Ġspoil', 'Ġchild', 'Ġand', 'Ġhe', 'Ġget', 'Ġcatch', 'Ġup', 'Ġin', 'Ġthat', 'Ġ.', 'Ġtill', 'Ġ2', 'Ġ!', 'Ġbut', 'Ġwe', 'Ġwill', 'Ġnot', 'Ġgo', 'Ġthere', 'Ġ!', 'Ġnot', 'Ġdo', 'Ġtoo', 'Ġbadly', 'Ġcheer', 'Ġ.', 'Ġyou', 'Ġ?']"
26,K tell me anything about you.,ham,29,0,0,0,0,0,0,0,0,0,0,1,"['k', 'Ġtell', 'ĠI', 'Ġanything', 'Ġabout', 'Ġyou', 'Ġ.']"
27,For fear of fainting with the of all that housework you just did? Quick have a cuppa,ham,84,0,0,0,0,0,0,0,0,1,0,0,"['Ġfear', 'Ġof', 'Ġfaint', 'Ġwith', 'Ġthe', 'Ġof', 'Ġall', 'Ġthat', 'Ġhouse', 'work', 'Ġyou', 'Ġjust', 'Ġdo', 'Ġ?', 'Ġquick', 'Ġhave', 'Ġa', 'Ġc', 'upp']"
28,Thanks for your subscription to Ringtone UK your mobile will be charged å£5/month Please confirm by replying YES or NO. If you reply NO you will not be charged,spam,159,1,0,0,0,0,0,0,0,3,0,4,"['thank', 'Ġfor', 'Ġyour', 'Ġsubscription', 'Ġto', 'Ġring', 'tone', 'Ġu', 'k', 'Ġyour', 'Ġmobile', 'Ġwill', 'Ġbe', 'Ġcharge', 'ĠÃ', '¥', 'Â£', '5', 'Ġ/', 'Ġmonth', 'Ġplease', 'Ġconfirm', 'Ġby', 'Ġreply', 'Ġyes', 'Ġor', 'Ġno', 'Ġ.', 'Ġif', 'Ġyou', 'Ġreply', 'Ġno', 'Ġyou', 'Ġwill', 'Ġnot', 'Ġbe', 'Ġcharge']"
29,Yup... Ok i go home look at the timings then i msg Ì_ again... Xuhui going to learn on 2nd may too but her lesson is at 8am,ham,123,2,0,0,0,0,0,0,0,2,0,1,"['Ġ...', 'Ġok', 'ĠI', 'Ġgo', 'Ġhome', 'Ġlook', 'Ġat', 'Ġthe', 'Ġtiming', 'Ġthen', 'ĠI', 'Ġmsg', 'ĠÃ', '¬', 'Ġ_', 'Ġagain', 'Ġ...', 'Ġx', 'uh', 'ui', 'Ġgo', 'Ġto', 'Ġlearn', 'Ġon', 'Ġ2', 'nd', 'Ġmay', 'Ġtoo', 'Ġbut', 'Ġher', 'Ġlesson', 'Ġbe', 'Ġat', 'Ġ8', 'Ġam']"
30,"Oops, I'll let you know when my roommate's done",ham,47,0,0,0,0,1,1,0,0,2,0,0,"['oop', 'Ġ,', 'ĠI', 'Ġwill', 'Ġlet', 'Ġyou', 'Ġknow', 'Ġwhen', 'Ġmy', 'Ġroommate', ""Ġ'"", 'Ġdo']"
31,I see the letter B on my car,ham,28,0,0,0,0,0,0,0,0,0,0,2,"['Ġsee', 'Ġthe', 'Ġletter', 'Ġb', 'Ġon', 'Ġmy', 'Ġcar']"
32,Anything lor... U decide...,ham,27,0,0,0,0,0,0,0,0,0,0,1,"['anything', 'Ġl', 'Ġ...', 'Ġu', 'Ġdecide', 'Ġ...']"
33,Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!,ham,155,0,0,0,0,0,0,1,0,6,2,1,"['hello', 'Ġ!', 'Ġhow', 'Ġbe', 'Ġyou', 'Ġand', 'Ġhow', 'Ġdo', 'Ġs', 'aturday', 'Ġgo', 'Ġ?', 'ĠI', 'Ġbe', 'Ġjust', 'Ġtex', 'te', 'Ġto', 'Ġsee', 'Ġif', 'Ġyou', 'Ġwould', 'Ġdecide', 'Ġto', 'Ġdo', 'Ġanything', 'Ġto', 'mo', 'Ġ.', 'Ġnot', 'Ġthat', 'ĠI', 'Ġbe', 'Ġtry', 'Ġto', 'Ġinvite', 'Ġmyself', 'Ġor', 'Ġanything', 'Ġ!']"
34,Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola,ham,82,0,0,0,0,0,0,0,0,0,0,1,"['pl', 'Ġgo', 'Ġahead', 'Ġwith', 'Ġwatt', 'Ġ.', 'ĠI', 'Ġjust', 'Ġwant', 'Ġto', 'Ġbe', 'Ġsure', 'Ġ.', 'Ġdo', 'Ġhave', 'Ġa', 'Ġgreat', 'Ġweekend', 'Ġ.', 'Ġab', 'iola']"
35,"Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy",ham,142,0,0,0,0,0,0,0,0,1,0,5,"['ĠI', 'Ġforget', 'Ġto', 'Ġtell', 'Ġyou', 'Ġ?', 'ĠI', 'Ġwant', 'Ġyou', 'Ġ,', 'ĠI', 'Ġneed', 'Ġyou', 'Ġ,', 'ĠI', 'Ġcrave', 'Ġyou', 'Ġ...', 'Ġbut', 'Ġmost', 'Ġof', 'Ġall', 'Ġ...', 'ĠI', 'Ġlove', 'Ġyou', 'Ġmy', 'Ġsweet', 'Ġar', 'ab', 'ian', 'Ġst', 'eed', 'Ġ...', 'Ġm', 'mm', 'mmm', 'Ġ...', 'Ġy', 'ummy']"
36,07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow,spam,172,22,0,0,0,1,2,0,0,4,0,1,"['07', '73', '25', '84', '351', 'Ġ-', 'Ġrod', 'ger', 'Ġburn', 'Ġ-', 'Ġmsg', 'Ġ=', 'Ġwe', 'Ġtry', 'Ġto', 'Ġcall', 'Ġyou', 'Ġre', 'Ġyour', 'Ġreply', 'Ġto', 'Ġour', 'Ġsm', 'Ġfor', 'Ġa', 'Ġfree', 'Ġn', 'okia', 'Ġmobile', 'Ġ+', 'Ġfree', 'Ġcam', 'c', 'order', 'Ġ.', 'Ġplease', 'Ġcall', 'Ġnow', 'Ġ08', '000', '930', '705', 'Ġfor', 'Ġdelivery', 'Ġtomorrow']"
37,WHO ARE YOU SEEING?,ham,19,0,0,0,1,0,0,0,0,1,0,4,"['Ġbe', 'Ġyou', 'Ġsee', 'Ġ?']"
38,Great! I hope you like your man well endowed. I am  &lt;#&gt;  inches...,ham,72,0,0,0,0,0,0,0,0,6,1,2,"['great', 'Ġ!', 'ĠI', 'Ġhope', 'Ġyou', 'Ġlike', 'Ġyour', 'Ġman', 'Ġwell', 'Ġend', 'ow', 'Ġ.', 'ĠI', 'Ġbe', 'Ġ', 'Ġ', 'Ġ&', 'Ġl', ';', '#', '&', 'gt', 'Ġ;', 'Ġ', 'Ġ', 'Ġinch', 'Ġ...']"
39,Didn't you get hep b immunisation in nigeria.,ham,45,0,0,0,0,0,0,0,0,1,0,0,"['Ġnot', 'Ġyou', 'Ġget', 'Ġhep', 'Ġb', 'Ġimmun', 'isation', 'Ġin', 'Ġnig', 'eria', 'Ġ.']"
40,"Fair enough, anything going on?",ham,31,0,0,0,1,0,0,0,0,1,0,0,"['fair', 'Ġenough', 'Ġ,', 'Ġanything', 'Ġgo', 'Ġon', 'Ġ?']"
41,"Yeah hopefully, if tyler can't do it I could maybe ask around a bit",ham,67,0,0,0,0,0,0,0,0,1,0,1,"['yeah', 'Ġhopefully', 'Ġ,', 'Ġif', 'Ġty', 'ler', 'Ġcan', 'Ġnot', 'Ġdo', 'Ġit', 'ĠI', 'Ġcould', 'Ġmaybe', 'Ġask', 'Ġaround', 'Ġa', 'Ġbit']"
42,U don't know how stubborn I am. I didn't even want to go to the hospital. I kept telling Mark I'm not a weak sucker. Hospitals are for weak suckers.,ham,148,0,0,0,0,1,1,0,0,3,0,4,"['u', 'Ġdo', 'Ġnot', 'Ġknow', 'Ġhow', 'Ġstubborn', 'ĠI', 'Ġbe', 'Ġ.', 'ĠI', 'Ġdo', 'Ġnot', 'Ġeven', 'Ġwant', 'Ġto', 'Ġgo', 'Ġto', 'Ġthe', 'Ġhospital', 'Ġ.', 'ĠI', 'Ġkeep', 'Ġtell', 'Ġmark', 'ĠI', 'Ġbe', 'Ġnot', 'Ġa', 'Ġweak', 'Ġsucker', 'Ġ.', 'Ġhospital', 'Ġbe', 'Ġfor', 'Ġweak', 'Ġsucker', 'Ġ.']"
43,What you thinked about me. First time you saw me in class.,ham,58,0,0,0,0,0,0,0,0,0,0,0,"['Ġyou', 'Ġthink', 'Ġabout', 'ĠI', 'Ġ.', 'Ġfirst', 'Ġtime', 'Ġyou', 'Ġsee', 'ĠI', 'Ġin', 'Ġclass', 'Ġ.']"
44,"A gram usually runs like  &lt;#&gt; , a half eighth is smarter though and gets you almost a whole second gram for  &lt;#&gt;",ham,124,0,0,0,0,0,0,0,0,10,0,1,"['Ġgram', 'Ġusually', 'Ġrun', 'Ġlike', 'Ġ', 'Ġ', 'Ġ&', 'Ġl', ';', '#', '&', 'gt', 'Ġ;', 'Ġ,', 'Ġa', 'Ġhalf', 'Ġeighth', 'Ġbe', 'Ġsmart', 'Ġthough', 'Ġand', 'Ġget', 'Ġyou', 'Ġalmost', 'Ġa', 'Ġwhole', 'Ġsecond', 'Ġgram', 'Ġfor', 'Ġ', 'Ġ', 'Ġ&', 'Ġl', ';', '#', '&', 'gt', 'Ġ;']"
45,K fyi x has a ride early tomorrow morning but he's crashing at our place tonight,ham,80,0,0,0,0,0,0,0,0,1,0,1,"['k', 'Ġf', 'yi', 'Ġx', 'Ġhave', 'Ġa', 'Ġride', 'Ġearly', 'Ġtomorrow', 'Ġmorning', 'Ġbut', 'Ġhe', 'Ġbe', 'Ġcrash', 'Ġat', 'Ġour', 'Ġplace', 'Ġtonight']"
46,"Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it, since i was doing the best i could and you always seemed so happy about \the cave\"". I'm sorry I didn't and don't have more to give. I'm sorry i offered. I'm sorry your room was so embarassing.""",ham,291,0,0,0,0,1,1,0,0,9,0,3,"['wow', 'Ġ.', 'ĠI', 'Ġnever', 'Ġrealize', 'Ġthat', 'Ġyou', 'Ġbe', 'Ġso', 'Ġemb', 'ar', 'assed', 'Ġby', 'Ġyour', 'Ġacc', 'om', 'od', 'ation', 'Ġ.', 'ĠI', 'Ġthink', 'Ġyou', 'Ġlike', 'Ġit', 'Ġ,', 'Ġsince', 'ĠI', 'Ġbe', 'Ġdo', 'Ġthe', 'Ġgood', 'ĠI', 'Ġcould', 'Ġand', 'Ġyou', 'Ġalways', 'Ġseem', 'Ġso', 'Ġhappy', 'Ġabout', 'Ġ\\', 'Ġcave', '\\', 'Ġ""', 'Ġ.', 'ĠI', 'Ġbe', 'Ġsorry', 'ĠI', 'Ġdo', 'Ġnot', 'Ġand', 'Ġdo', 'Ġnot', 'Ġhave', 'Ġmore', 'Ġto', 'Ġgive', 'Ġ.', 'ĠI', 'Ġbe', 'Ġsorry', 'ĠI', 'Ġoffer', 'Ġ.', 'ĠI', 'Ġbe', 'Ġsorry', 'Ġyour', 'Ġroom', 'Ġbe', 'Ġso', 'Ġemb', 'ar', 'assing', 'Ġ.', 'Ġ""']"
47,SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV,spam,120,0,0,0,0,1,1,0,0,3,0,3,"['sm', 'Ġ.', 'Ġac', 'Ġs', 'pt', 'v', 'Ġ:', 'Ġthe', 'Ġnew', 'Ġjersey', 'Ġdevil', 'Ġand', 'Ġthe', 'Ġdet', 'roit', 'Ġred', 'Ġwing', 'Ġplay', 'Ġice', 'Ġhockey', 'Ġ.', 'Ġcorrect', 'Ġor', 'Ġincorrect', 'Ġ?', 'Ġend', 'Ġ?', 'Ġreply', 'Ġend', 'Ġs', 'pt', 'v']"
48,Do you know what Mallika Sherawat did yesterday? Find out now @  &lt;URL&gt;,ham,76,0,0,0,0,1,1,0,0,6,0,0,"['Ġyou', 'Ġknow', 'Ġwhat', 'Ġmall', 'ika', 'Ġsher', 'aw', 'Ġdo', 'Ġyesterday', 'Ġ?', 'Ġfind', 'Ġout', 'Ġnow', 'Ġ@', 'Ġ', 'Ġ', 'Ġ&', 'Ġl', ';', 'url', '&', 'gt', 'Ġ;']"
49,"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out! ",spam,161,24,0,0,0,1,2,0,0,6,4,3,"['cong', 'rat', 'Ġ!', 'Ġ1', 'Ġyear', 'Ġspecial', 'Ġcinema', 'Ġpass', 'Ġfor', 'Ġ2', 'Ġbe', 'Ġyours', 'Ġ.', 'Ġcall', 'Ġ09', '06', '12', '09', '465', 'Ġnow', 'Ġ!', 'Ġc', 'Ġsu', 'pr', 'man', 'Ġv', 'Ġ,', 'Ġmatrix', '3', 'Ġ,', 'Ġstar', 'w', 'ars', '3', 'Ġ,', 'Ġetc', 'Ġall', 'Ġ4', 'Ġfree', 'Ġ!', 'Ġb', 'x', '420', 'Ġ-', 'Ġip', '4', 'Ġ-', 'Ġ5', 'Ġ.', 'Ġ150', 'pm', 'Ġ.', 'Ġdo', 'Ġnot', 'Ġmiss', 'Ġout', 'Ġ!']"
50,"Sorry, I'll call later in meeting.",ham,34,0,0,0,0,0,0,0,0,1,0,0,"['sorry', 'Ġ,', 'ĠI', 'Ġwill', 'Ġcall', 'Ġlater', 'Ġin', 'Ġmeeting', 'Ġ.']"
51,Tell where you reached,ham,22,0,0,0,0,0,0,0,0,0,0,0,"['tell', 'Ġwhere', 'Ġyou', 'Ġreach']"
52,Yes..gauti and sehwag out of odi series.,ham,40,0,1,0,0,0,0,0,0,0,0,0,"['yes', 'Ġ..', 'Ġg', 'aut', 'Ġand', 'Ġse', 'hw', 'ag', 'Ġout', 'Ġof', 'Ġo', 'di', 'Ġseries', 'Ġ.']"
53,Your gonna have to pick up a $1 burger for yourself on your way home. I can't even move. Pain is killing me.,ham,108,1,0,0,0,0,0,1,0,2,0,1,"['Ġgo', 'Ġto', 'Ġhave', 'Ġto', 'Ġpick', 'Ġup', 'Ġa', 'Ġ$', 'Ġ1', 'Ġburger', 'Ġfor', 'Ġyourself', 'Ġon', 'Ġyour', 'Ġway', 'Ġhome', 'Ġ.', 'ĠI', 'Ġcan', 'Ġnot', 'Ġeven', 'Ġmove', 'Ġ.', 'Ġpain', 'Ġbe', 'Ġkill', 'ĠI', 'Ġ.']"
54,Ha ha ha good joke. Girls are situation seekers.,ham,48,0,0,0,0,0,0,0,0,0,0,0,"['ha', 'Ġha', 'Ġha', 'Ġgood', 'Ġjoke', 'Ġ.', 'Ġgirl', 'Ġbe', 'Ġsituation', 'Ġseeker', 'Ġ.']"
55,"Sorry my roommates took forever, it ok if I come by now?",ham,56,0,0,0,1,1,1,0,0,1,0,1,"['sorry', 'Ġmy', 'Ġroommate', 'Ġtake', 'Ġforever', 'Ġ,', 'Ġit', 'Ġok', 'Ġif', 'ĠI', 'Ġcome', 'Ġby', 'Ġnow', 'Ġ?']"
